쿄코와 아버지,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388140104,"<span class=""ss_p2""><em>7,200원</em></span>","<span class=""star_score"">10.0</span>"
최소한의 한국사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318885306,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">9.4</span>"
정전,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387900696,"<span class=""ss_p2""><em>15,750원</em></span>","<span class=""star_score"">10.0</span>"
아주 작은 습관의 힘 (50만 부 기념 스페셜 에디션),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379447436,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">9.1</span>"
이지패스 2026 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379450520,"<span class=""ss_p2""><em>27,000원</em></span>","<span class=""star_score"">10.0</span>"
2026 김민철 경찰학 핵심요약집,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387722517,"<span class=""ss_p2""><em>25,200원</em></span>",
데미안,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=260084,"<span class=""ss_p2""><em>7,200원</em></span>","<span class=""star_score"">8.8</span>"
Again! 뒤집어본 영문법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=651629,"<span class=""ss_p2""><em>13,410원</em></span>","<span class=""star_score"">9.6</span>"
원피스 113,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384420875,"<span class=""ss_p2""><em>5,850원</em></span>","<span class=""star_score"">9.9</span>"
왜 일하는가,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269133591,"<span class=""ss_p2""><em>16,200원</em></span>","<span class=""star_score"">7.8</span>"
나쁜 일이 있어도 나쁜 날은 아니야,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384459480,"<span class=""ss_p2""><em>15,120원</em></span>","<span class=""star_score"">10.0</span>"
독끝 코레일 한국철도공사 NCS + 철도법령 모의고사 : 기출유형22선 + 철도법령 암기노트 - 전3권,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=381055030,"<span class=""ss_p2""><em>21,600원</em></span>","<span class=""star_score"">9.9</span>"
슈퍼 뒤에서 담배 피우는 두 사람 7,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388083662,"<span class=""ss_p2""><em>5,850원</em></span>",
악역 영애 안의 사람 6,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388039069,"<span class=""ss_p2""><em>5,400원</em></span>","<span class=""star_score"">10.0</span>"
금지된 기억 : 문화대혁명 시기의 티베트,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385946361,"<span class=""ss_p2""><em>24,300원</em></span>","<span class=""star_score"">9.6</span>"
빅터 프랭클의 죽음의 수용소에서,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382243812,"<span class=""ss_p2""><em>10,800원</em></span>","<span class=""star_score"">9.0</span>"
ETS 토익 정기시험 기출문제집 1000 Vol. 4 Reading (리딩),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=330109498,"<span class=""ss_p2""><em>17,820원</em></span>","<span class=""star_score"">10.0</span>"
"1,000만 원으로 3년 안에 300만 원 월배당 만들기",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384577212,"<span class=""ss_p2""><em>20,700원</em></span>","<span class=""star_score"">9.9</span>"
봇치·더·록! 앤솔러지 코믹 5,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388138167,"<span class=""ss_p2""><em>8,100원</em></span>",
존리의 부자되기 습관,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385097509,"<span class=""ss_p2""><em>18,000원</em></span>","<span class=""star_score"">8.0</span>"
은하수를 여행하는 히치하이커를 위한 안내서 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=532986,"<span class=""ss_p2""><em>12,600원</em></span>","<span class=""star_score"">8.1</span>"
